
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
64:A2:F9:BE:5D:59, 2019-03-21 15:15:36, 2019-03-21 15:15:51,  4,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
40:18:B1:94:C4:D6, 2019-03-21 15:13:45, 2019-03-21 15:15:53, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
94:65:2D:41:30:96, 2019-03-21 15:15:53, 2019-03-21 15:15:53, 11,  -1, WPA, ,   , -47,        0,        1,   0.  0.  0.  0,   0, , 
70:5A:0F:F4:34:D9, 2019-03-21 15:11:58, 2019-03-21 15:14:26,  6,  54, WPA2, CCMP,PSK, -47,        0,        0,   0.  0.  0.  0,  31, DIRECT-25-HP OfficeJet Pro 8720, 
E2:E8:62:14:02:40, 2019-03-21 15:13:01, 2019-03-21 15:14:02,  2,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
D6:38:9C:5B:5D:3A, 2019-03-21 15:12:00, 2019-03-21 15:16:15, 13,  54, WPA2, CCMP,PSK, -45,        0,        0,   0.  0.  0.  0,  15, Xperia XA1_8a9a, 
D2:D4:2A:D3:D2:68, 2019-03-21 15:14:32, 2019-03-21 15:14:32, 12,  54, WEP, WEP,   , -50,        1,        0,   0.  0.  0.  0,  14, freebox_QXNSET, 
F2:0D:56:02:E4:47, 2019-03-21 15:14:31, 2019-03-21 15:14:31, 11,  54, WPA, CCMP, MGT, -47,        1,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
76:99:63:F2:B4:AA, 2019-03-21 15:12:18, 2019-03-21 15:14:56, 11,  54, WPA2, CCMP,PSK, -45,        0,        0,   0.  0.  0.  0,  16, KxL's iPhone III, 
40:65:A3:E4:C2:11, 2019-03-21 15:11:49, 2019-03-21 15:16:14,  7,  54, WPA2, CCMP,PSK, -44,        5,        1,   0.  0.  0.  0,   8, SFR-c20b, 
40:18:B1:97:6B:55, 2019-03-21 15:12:19, 2019-03-21 15:16:09,  1,  54, WPA2, CCMP,PSK, -44,        8,        0,   0.  0.  0.  0,  11, Labo_Reseau, 
0A:C5:E1:DC:E5:36, 2019-03-21 15:11:43, 2019-03-21 15:16:13, 11,  54, WPA2, CCMP,PSK, -43,       74,        1,   0.  0.  0.  0,  13, AndroidAPE536, 
40:18:B1:97:6B:57, 2019-03-21 15:12:19, 2019-03-21 15:16:09,  1,  54, WPA2, CCMP,PSK, -42,       11,        0,   0.  0.  0.  0,  19, ESME-Sudria Invites, 
40:18:B1:97:6B:58, 2019-03-21 15:12:25, 2019-03-21 15:16:04,  1,  54, WPA2, CCMP,PSK, -42,       11,        0,   0.  0.  0.  0,   3, ESL, 
40:18:B1:97:6B:56, 2019-03-21 15:11:39, 2019-03-21 15:16:14,  1,  54, WPA2, CCMP,PSK, -41,       13,      380,   0.  0.  0.  0,  11, ESME-Sudria, 
40:18:B1:97:6B:59, 2019-03-21 15:12:24, 2019-03-21 15:16:09,  1,  54, WPA2, CCMP,PSK, -40,       10,        0,   0.  0.  0.  0,  21, ESME-Sudria Visiteurs, 
C8:D3:A3:16:7A:72, 2019-03-21 15:12:39, 2019-03-21 15:16:15, 11,  54, OPN, ,   , -40,       23,        0,   0.  0.  0.  0,   5, dlink, 
0C:8F:FF:DB:34:07, 2019-03-21 15:11:40, 2019-03-21 15:16:14,  6,  54, WPA2, CCMP,PSK, -33,       97,        4,   0.  0.  0.  0,  19, HUAWEI P8 lite 2017, 
B2:19:C6:BF:6C:FD, 2019-03-21 15:11:39, 2019-03-21 15:16:16,  1,  54, WPA2, CCMP,PSK, -32,      430,        0,   0.  0.  0.  0,  15, iPhone de Bryan, 
F2:81:7A:7D:84:CC, 2019-03-21 15:11:39, 2019-03-21 15:16:16,  6,  54, WPA2, CCMP,PSK, -20,      323,        0,   0.  0.  0.  0,  17, iPhone de Melissa, 
BE:54:36:78:4C:51, 2019-03-21 15:11:39, 2019-03-21 15:16:16,  1,  54, WPA2, CCMP,PSK, -20,      279,       11,   0.  0.  0.  0,  17, iPhone de Tasnime, 
6E:8D:C1:49:B8:14, 2019-03-21 15:11:41, 2019-03-21 15:16:15, 11,  54, WPA2, CCMP,PSK, -17,      274,        0,   0.  0.  0.  0,  14, iPhone d'Anais, 
40:18:B1:CB:D8:D7, 2019-03-21 15:13:35, 2019-03-21 15:16:13,  6,  -1, WPA, ,   ,  -1,        0,      130,   0.  0.  0.  0,   0, , 
00:25:00:FF:94:73, 2019-03-21 15:11:53, 2019-03-21 15:16:08, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
40:18:B1:97:5E:96, 2019-03-21 15:15:12, 2019-03-21 15:16:13,  6,  -1, WPA, ,   ,  -1,        0,        3,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
62:2F:32:B2:08:D3, 2019-03-21 15:15:00, 2019-03-21 15:15:00, -22,       10, (not associated) ,
54:35:30:B6:EF:A9, 2019-03-21 15:14:13, 2019-03-21 15:14:36, -29,        5, 40:18:B1:97:6B:56,
4A:8B:1F:7B:50:B6, 2019-03-21 15:14:21, 2019-03-21 15:14:21, -20,        2, (not associated) ,
28:CF:E9:18:CA:D3, 2019-03-21 15:14:22, 2019-03-21 15:14:22, -39,        1, (not associated) ,
8E:B4:95:4B:BE:8D, 2019-03-21 15:14:23, 2019-03-21 15:14:23, -44,        1, (not associated) ,
02:FA:5A:FE:4E:22, 2019-03-21 15:14:22, 2019-03-21 15:14:22, -58,        1, (not associated) ,
FC:DB:B3:5C:32:3B, 2019-03-21 15:13:45, 2019-03-21 15:14:11, -20,        3, F2:81:7A:7D:84:CC,
3E:3B:EB:07:23:98, 2019-03-21 15:14:09, 2019-03-21 15:14:09, -26,        8, (not associated) ,
5C:5F:67:CB:C5:AF, 2019-03-21 15:13:45, 2019-03-21 15:14:11, -51,        5, 40:18:B1:94:C4:D6,
AA:89:FA:4C:A0:42, 2019-03-21 15:14:02, 2019-03-21 15:14:02, -14,        1, (not associated) ,
54:35:30:93:82:17, 2019-03-21 15:13:01, 2019-03-21 15:14:02, -39,       12, E2:E8:62:14:02:40,
30:3A:64:4A:A8:DF, 2019-03-21 15:14:00, 2019-03-21 15:14:00, -46,        1, (not associated) ,
36:95:FC:72:97:37, 2019-03-21 15:13:59, 2019-03-21 15:14:00, -57,       10, (not associated) ,
B6:DA:B1:21:33:9E, 2019-03-21 15:13:38, 2019-03-21 15:13:38, -41,        1, (not associated) ,
FA:5C:2D:8D:96:4E, 2019-03-21 15:12:35, 2019-03-21 15:12:35, -45,        1, (not associated) ,
B2:D4:24:1B:5F:D5, 2019-03-21 15:11:47, 2019-03-21 15:11:47, -40,        1, (not associated) ,
16:E5:9F:A0:8C:9F, 2019-03-21 15:11:55, 2019-03-21 15:11:55, -39,        1, (not associated) ,
6E:53:69:3D:AC:C2, 2019-03-21 15:12:28, 2019-03-21 15:12:28, -43,        1, (not associated) ,
66:88:BD:F3:B7:CE, 2019-03-21 15:14:17, 2019-03-21 15:14:17, -19,        5, (not associated) ,
92:B7:BE:FD:C9:25, 2019-03-21 15:14:43, 2019-03-21 15:14:43, -19,        2, (not associated) ,
74:C6:3B:E2:21:F9, 2019-03-21 15:15:07, 2019-03-21 15:15:07, -32,        3, (not associated) ,ESME-Sudria
54:35:30:54:02:47, 2019-03-21 15:13:35, 2019-03-21 15:16:10, -55,      133, 40:18:B1:97:6B:56,
B8:27:EB:CA:D5:E8, 2019-03-21 15:11:43, 2019-03-21 15:16:14, -53,    10097, B2:19:C6:BF:6C:FD,
66:60:B4:28:01:FA, 2019-03-21 15:15:18, 2019-03-21 15:15:18, -50,        1, (not associated) ,
40:B8:9A:B7:84:D7, 2019-03-21 15:15:12, 2019-03-21 15:16:13, -50,        3, 40:18:B1:97:5E:96,
88:B1:11:CF:54:22, 2019-03-21 15:15:12, 2019-03-21 15:16:15, -37,        4, D6:38:9C:5B:5D:3A,
40:E2:30:AD:49:B7, 2019-03-21 15:14:41, 2019-03-21 15:16:13, -45,       18, 40:18:B1:CB:D8:D7,
08:C5:E1:DC:E5:36, 2019-03-21 15:15:32, 2019-03-21 15:15:32, -38,        2, (not associated) ,
B8:27:EB:AE:97:72, 2019-03-21 15:11:46, 2019-03-21 15:16:13, -35,       47, 40:18:B1:94:C4:D6,
B8:EE:65:D1:0F:A5, 2019-03-21 15:14:47, 2019-03-21 15:15:43, -33,        3, 40:18:B1:CB:D8:D7,
34:02:86:0F:0F:96, 2019-03-21 15:12:14, 2019-03-21 15:15:34, -33,       47, 40:18:B1:97:6B:56,ESME-Sudria
00:E1:8C:88:F9:3C, 2019-03-21 15:11:39, 2019-03-21 15:15:51, -30,       20, 64:A2:F9:BE:5D:59,OnePlus6T-YK
D0:53:49:8A:D3:22, 2019-03-21 15:11:54, 2019-03-21 15:15:49, -26,       11, 40:18:B1:97:6B:56,
02:B8:9A:74:DA:2A, 2019-03-21 15:11:53, 2019-03-21 15:16:08, -24,       17, 00:25:00:FF:94:73,
E0:9D:31:FD:2B:18, 2019-03-21 15:14:02, 2019-03-21 15:15:53, -20,        7, 0C:8F:FF:DB:34:07,
00:F4:8D:B6:EF:B1, 2019-03-21 15:11:39, 2019-03-21 15:16:09,  -9,      169, BE:54:36:78:4C:51,iPhone de Tasnime
AC:BC:32:7D:3F:9B, 2019-03-21 15:11:48, 2019-03-21 15:15:53,  -9,       43, 6E:8D:C1:49:B8:14,
28:C2:DD:9C:B3:0B, 2019-03-21 15:12:08, 2019-03-21 15:16:09,  -8,       23, (not associated) ,
40:9F:38:C0:50:EF, 2019-03-21 15:11:39, 2019-03-21 15:16:14,  -8,      448, 40:18:B1:97:6B:56,ESME-Sudria
