
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
18:64:72:68:A0:31, 2019-03-14 17:47:35, 2019-03-14 17:47:49, 13,  54, WPA2, CCMP, MGT, -44,        3,        0,   0.  0.  0.  0,   6, Mazars, 
18:64:72:68:B6:A4, 2019-03-14 17:47:49, 2019-03-14 17:47:49,  1,  54, WPA2, CCMP, MGT, -61,        1,        0,   0.  0.  0.  0,   3, MSA, 
18:64:72:68:B6:A1, 2019-03-14 17:47:50, 2019-03-14 17:47:50,  1,  54, WPA2, CCMP, MGT, -62,        1,        0,   0.  0.  0.  0,   6, Mazars, 
18:64:72:68:B6:A5, 2019-03-14 17:47:49, 2019-03-14 17:47:49,  1,  54, WPA2, CCMP,PSK, -62,        1,        0,   0.  0.  0.  0,   9, MazarsLAB, 
18:64:72:68:B6:A3, 2019-03-14 17:47:49, 2019-03-14 17:47:49,  1,  54, WPA2, CCMP,PSK, -63,        1,        0,   0.  0.  0.  0,  13, Mazars Studio, 
18:64:72:68:A0:30, 2019-03-14 17:47:33, 2019-03-14 17:47:35, 13,  54, OPN, ,   , -43,        4,        0,   0.  0.  0.  0,  12, Mazars Guest, 
18:64:72:68:A1:01, 2019-03-14 17:47:29, 2019-03-14 17:47:35, 13,  54, OPN, ,   , -58,        2,        0,   0.  0.  0.  0,  12, Mazars Guest, 
18:64:72:68:C1:66, 2019-03-14 17:47:30, 2019-03-14 17:47:35, 13,  54, WPA2, CCMP,PSK, -58,        2,        0,   0.  0.  0.  0,   8, Alter&Go, 
18:64:72:68:A1:06, 2019-03-14 17:47:29, 2019-03-14 17:47:35, 13,  54, WPA2, CCMP,PSK, -59,        2,        0,   0.  0.  0.  0,   9, MazarsLAB, 
18:64:72:68:AE:06, 2019-03-14 17:47:29, 2019-03-14 17:47:29,  1,  54, WPA2, CCMP,PSK, -58,        0,        0,   0.  0.  0.  0,   8, Alter&Go, 
18:64:72:68:A1:07, 2019-03-14 17:47:29, 2019-03-14 17:47:29, 13,  54, WPA2, CCMP,PSK, -58,        1,        0,   0.  0.  0.  0,   8, Alter&Go, 
18:64:72:68:A1:04, 2019-03-14 17:47:30, 2019-03-14 17:47:30, 13,  54, WPA2, CCMP, MGT, -57,        0,        0,   0.  0.  0.  0,   3, MSA, 
18:64:72:68:A1:00, 2019-03-14 17:47:40, 2019-03-14 17:47:40, 13,  54, WPA2, CCMP, MGT, -59,        1,        0,   0.  0.  0.  0,   6, Mazars, 
18:64:72:68:A1:02, 2019-03-14 17:47:29, 2019-03-14 17:47:40, 13,  54, WPA2, CCMP, MGT, -57,        1,        1,   0.  0.  0.  0,  13, Mazars Mobile, 
18:64:72:68:A1:05, 2019-03-14 17:47:29, 2019-03-14 17:47:40, 13,  54, WPA2, CCMP,PSK, -57,        2,        0,   0.  0.  0.  0,  13, Mazars Studio, 
28:24:FF:7A:AB:52, 2019-03-14 17:47:44, 2019-03-14 17:47:44,  1,  54, WPA2, CCMP,PSK, -40,        1,        0,   0.  0.  0.  0,  21, ClickShare-1872169427, 
00:24:6C:B7:C3:E5, 2019-03-14 17:47:55, 2019-03-14 17:47:55,  1,  54, WPA2, CCMP,PSK, -62,        1,        0,   0.  0.  0.  0,  13, Mazars Studio, 
18:64:72:68:AE:02, 2019-03-14 17:47:44, 2019-03-14 17:48:05,  1,  -1, WPA, ,   , -59,        0,        2,   0.  0.  0.  0,   0, , 
00:24:6C:27:24:30, 2019-03-14 17:47:53, 2019-03-14 17:47:53,  5,  54, WPA2, CCMP, MGT, -59,        1,        0,   0.  0.  0.  0,   6, Mazars, 
18:64:72:68:C1:62, 2019-03-14 17:47:29, 2019-03-14 17:48:01, 13,  -1, WPA, ,   , -57,        0,        3,   0.  0.  0.  0,   0, , 
18:64:72:68:C1:60, 2019-03-14 17:47:40, 2019-03-14 17:48:00, 13,  54, OPN, ,   , -57,        3,        0,   0.  0.  0.  0,  12, Mazars Guest, 
18:64:72:68:AE:33, 2019-03-14 17:47:31, 2019-03-14 17:48:07,  9,  54, WPA2, CCMP,PSK, -57,       12,        4,   0.  0.  0.  0,  14, Les Determines, 
18:64:72:68:AE:34, 2019-03-14 17:47:31, 2019-03-14 17:48:07,  9,  54, WPA2, CCMP, MGT, -57,       11,        0,   0.  0.  0.  0,   3, MSA, 
18:64:72:68:C1:65, 2019-03-14 17:47:29, 2019-03-14 17:48:04, 13,  54, WPA2, CCMP,PSK, -57,        5,        0,   0.  0.  0.  0,   9, MazarsLAB, 
18:64:72:68:AE:31, 2019-03-14 17:47:31, 2019-03-14 17:48:07,  9,  54, WPA2, CCMP, MGT, -57,       12,        5,   0.  0.  0.  0,   6, Mazars, 
18:64:72:68:C1:61, 2019-03-14 17:48:00, 2019-03-14 17:48:00, 13,  54, WPA2, CCMP, MGT, -57,        1,        0,   0.  0.  0.  0,   6, Mazars, 
18:64:72:68:AE:35, 2019-03-14 17:47:31, 2019-03-14 17:48:07,  9,  54, WPA2, CCMP,PSK, -56,       11,        0,   0.  0.  0.  0,  13, Mazars Studio, 
18:64:72:68:AE:37, 2019-03-14 17:47:31, 2019-03-14 17:48:09,  9,  54, WPA2, CCMP,PSK, -56,       16,        0,   0.  0.  0.  0,   8, Alter&Go, 
18:64:72:68:AE:36, 2019-03-14 17:47:32, 2019-03-14 17:48:07,  9,  54, WPA2, CCMP,PSK, -56,       14,        0,   0.  0.  0.  0,   9, MazarsLAB, 
18:64:72:68:AE:30, 2019-03-14 17:47:31, 2019-03-14 17:48:02,  9,  54, OPN, ,   , -56,       19,        0,   0.  0.  0.  0,  12, Mazars Guest, 
18:64:72:68:AE:32, 2019-03-14 17:47:31, 2019-03-14 17:48:07,  9,  54, WPA2, CCMP, MGT, -56,       12,        7,   0.  0.  0.  0,  13, Mazars Mobile, 
18:64:72:68:C1:64, 2019-03-14 17:48:00, 2019-03-14 17:48:11, 13,  54, WPA2, CCMP,PSK, -56,        1,        0,   0.  0.  0.  0,  13, Mazars Studio, 
18:64:72:68:A0:33, 2019-03-14 17:47:29, 2019-03-14 17:48:11, 13,  54, WPA2, CCMP, MGT, -48,        8,        0,   0.  0.  0.  0,   3, MSA, 
18:64:72:68:B4:B6, 2019-03-14 17:47:30, 2019-03-14 17:48:06, 13,  54, WPA2, CCMP,PSK, -51,        9,        0,   0.  0.  0.  0,  13, Mazars Studio, 
00:24:6C:22:7F:A4, 2019-03-14 17:47:39, 2019-03-14 17:48:10,  1,  54, WPA2, CCMP,PSK, -50,        7,        0,   0.  0.  0.  0,  13, Mazars Studio, 
18:64:72:68:B4:B5, 2019-03-14 17:47:29, 2019-03-14 17:48:09, 13,  54, WPA2, CCMP, MGT, -49,        7,        0,   0.  0.  0.  0,   3, MSA, 
00:24:6C:22:7F:A6, 2019-03-14 17:47:30, 2019-03-14 17:48:04,  1,  54, WPA2, CCMP,PSK, -49,        7,        0,   0.  0.  0.  0,   8, Alter&Go, 
00:24:6C:22:7F:A1, 2019-03-14 17:47:30, 2019-03-14 17:48:06,  1,  54, OPN, ,   , -48,        3,        0,   0.  0.  0.  0,  12, Mazars Guest, 
18:64:72:68:B4:B4, 2019-03-14 17:47:29, 2019-03-14 17:48:10, 13,  54, WPA2, CCMP,PSK, -48,       11,        0,   0.  0.  0.  0,   9, MazarsLAB, 
00:24:6C:22:7F:A5, 2019-03-14 17:47:34, 2019-03-14 17:48:10,  1,  54, WPA2, CCMP,PSK, -47,        9,        0,   0.  0.  0.  0,   9, MazarsLAB, 
18:64:72:68:A0:34, 2019-03-14 17:47:29, 2019-03-14 17:48:11, 13,  54, WPA2, CCMP,PSK, -47,        8,        0,   0.  0.  0.  0,  13, Mazars Studio, 
18:64:72:68:A0:35, 2019-03-14 17:47:29, 2019-03-14 17:48:09, 13,  54, WPA2, CCMP,PSK, -47,        7,        0,   0.  0.  0.  0,   9, MazarsLAB, 
18:64:72:68:A0:37, 2019-03-14 17:47:33, 2019-03-14 17:48:11, 13,  54, WPA2, CCMP,PSK, -46,       11,        0,   0.  0.  0.  0,  14, Les Determines, 
00:24:6C:22:7F:A3, 2019-03-14 17:47:30, 2019-03-14 17:48:10,  1,  54, WPA2, CCMP, MGT, -46,        8,        0,   0.  0.  0.  0,   3, MSA, 
18:64:72:68:B4:B0, 2019-03-14 17:47:29, 2019-03-14 17:48:11, 13,  54, WPA2, CCMP, MGT, -44,        9,        0,   0.  0.  0.  0,   6, Mazars, 
18:64:72:68:B4:B7, 2019-03-14 17:47:30, 2019-03-14 17:47:55, 13,  54, WPA2, CCMP,PSK, -46,        1,        0,   0.  0.  0.  0,   8, Alter&Go, 
18:64:72:68:A0:32, 2019-03-14 17:47:33, 2019-03-14 17:47:55, 13,  54, WPA2, CCMP, MGT, -46,        5,        0,   0.  0.  0.  0,  13, Mazars Mobile, 
18:64:72:68:A0:36, 2019-03-14 17:47:35, 2019-03-14 17:48:10, 13,  54, WPA2, CCMP,PSK, -46,        6,        0,   0.  0.  0.  0,   8, Alter&Go, 
18:64:72:68:B4:B2, 2019-03-14 17:47:29, 2019-03-14 17:48:11, 13,  54, WPA2, CCMP, MGT, -45,       11,        0,   0.  0.  0.  0,  13, Mazars Mobile, 
18:64:72:68:B4:B3, 2019-03-14 17:47:55, 2019-03-14 17:48:11, 13,  54, WPA2, CCMP,PSK, -43,        2,        0,   0.  0.  0.  0,   0, , 
