
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
EC:8E:B5:08:6F:D4, 2019-03-18 11:06:09, 2019-03-18 11:06:09,  6,  54, WPA2, CCMP,PSK, -40,        1,        0,   0.  0.  0.  0,  31, DIRECT-26-HP OfficeJet Pro 8720, 
40:18:B1:CB:D8:D9, 2019-03-18 11:06:04, 2019-03-18 11:06:04,  6,  54, WPA2, CCMP,PSK, -56,        1,        0,   0.  0.  0.  0,  11, Labo_Reseau, 
40:18:B1:CB:D8:D8, 2019-03-18 11:06:04, 2019-03-18 11:06:04,  6,  54, WPA2, CCMP,PSK, -56,        1,        0,   0.  0.  0.  0,  21, ESME-Sudria Visiteurs, 
E4:5D:51:13:55:D6, 2019-03-18 11:06:25, 2019-03-18 11:06:25,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -59,        1,        0,   0.  0.  0.  0,   7, NadeSfr, 
F4:CA:E5:F5:96:14, 2019-03-18 11:06:25, 2019-03-18 11:06:25,  1,  54, WPA2, CCMP,PSK, -57,        1,        0,   0.  0.  0.  0,  14, Freebox-4436D0, 
14:0C:76:ED:B4:46, 2019-03-18 11:06:17, 2019-03-18 11:06:17,  3,  54, WPA2, CCMP TKIP, MGT, -56,        1,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
40:18:B1:CB:D8:D7, 2019-03-18 11:06:04, 2019-03-18 11:06:30, -1,  -1, , ,   , -55,        0,        0,   0.  0.  0.  0,   0, , 
40:18:B1:97:6B:97, 2019-03-18 11:06:00, 2019-03-18 11:06:10,  1,  -1, WPA, ,   , -55,        0,        4,   0.  0.  0.  0,   0, , 
40:18:B1:97:6B:96, 2019-03-18 11:06:10, 2019-03-18 11:06:10,  1,  54, WPA2, CCMP,PSK, -55,        2,        0,   0.  0.  0.  0,  19, ESME-Sudria Invites, 
40:18:B1:97:6B:95, 2019-03-18 11:06:10, 2019-03-18 11:06:10,  1,  54, WPA2, CCMP,PSK, -55,        1,        0,   0.  0.  0.  0,  11, ESME-Sudria, 
40:18:B1:CB:D8:D5, 2019-03-18 11:06:25, 2019-03-18 11:06:25,  6,  -1, WPA, ,   , -55,        0,        1,   0.  0.  0.  0,   0, , 
14:0C:76:ED:B4:45, 2019-03-18 11:06:02, 2019-03-18 11:06:22,  3,  54, OPN, ,   , -54,        5,        0,   0.  0.  0.  0,   8, FreeWifi, 
14:0C:76:ED:B4:44, 2019-03-18 11:06:02, 2019-03-18 11:06:27,  3,  54, WPA, CCMP TKIP,PSK, -54,        4,        0,   0.  0.  0.  0,   7, rst2015, 
40:18:B1:97:6B:99, 2019-03-18 11:06:26, 2019-03-18 11:06:26,  1,  54, WPA2, CCMP,PSK, -54,        1,        0,   0.  0.  0.  0,  21, ESME-Sudria Visiteurs, 
40:18:B1:97:6B:98, 2019-03-18 11:06:10, 2019-03-18 11:06:10,  1,  54, WPA2, CCMP,PSK, -53,        1,        0,   0.  0.  0.  0,  11, Labo_Reseau, 
40:18:B1:CC:17:15, 2019-03-18 11:06:25, 2019-03-18 11:06:25,  1,  -1, WPA, ,   , -53,        0,        2,   0.  0.  0.  0,   0, , 
B2:E1:7B:1F:96:64, 2019-03-18 11:06:02, 2019-03-18 11:06:25,  1,  54, WPA2, CCMP,PSK, -51,        6,        0,   0.  0.  0.  0,  10, Coucou toi, 
00:1F:9F:BE:37:0B, 2019-03-18 11:06:14, 2019-03-18 11:06:19, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -51,        1,        0,   0.  0.  0.  0,  11, Bbox-18DA12, 
40:18:B1:97:60:D9, 2019-03-18 11:06:15, 2019-03-18 11:06:15,  6,  54, WPA2, CCMP,PSK, -51,        1,        0,   0.  0.  0.  0,  21, ESME-Sudria Visiteurs, 
F4:CA:E5:A7:BA:A9, 2019-03-18 11:06:09, 2019-03-18 11:06:27,  5,  54, OPN, ,   , -50,        4,        0,   0.  0.  0.  0,   8, FreeWifi, 
2E:0E:3D:E9:2C:1D, 2019-03-18 11:06:00, 2019-03-18 11:06:28,  1,  54, WPA2, CCMP,PSK, -49,        2,        0,   0.  0.  0.  0,   9, Mplouplou, 
F4:CA:E5:A7:BA:AA, 2019-03-18 11:06:17, 2019-03-18 11:06:29,  5,  54, WPA2, CCMP TKIP, MGT, -49,        3,        2,   0.  0.  0.  0,  15, FreeWifi_secure, 
F4:CA:E5:A7:BA:A8, 2019-03-18 11:06:09, 2019-03-18 11:06:29,  5,  54, WPA, CCMP,PSK, -49,        3,        0,   0.  0.  0.  0,  14, Freebox-551EC0, 
10:8E:E0:46:74:52, 2019-03-18 11:06:14, 2019-03-18 11:06:14, 11,  54, WPA2, CCMP,PSK, -49,        0,        0,   0.  0.  0.  0,  13, AndroidAP7452, 
22:47:DA:C3:46:25, 2019-03-18 11:06:03, 2019-03-18 11:06:13,  6,  54, WPA2, CCMP,PSK, -47,        6,        0,   0.  0.  0.  0,  13, Bush did 9/11, 
88:BD:45:B5:C3:D0, 2019-03-18 11:06:05, 2019-03-18 11:06:26,  1,  54, WPA2, CCMP,PSK, -47,        7,        0,   0.  0.  0.  0,   9, AndroidAP, 
32:35:AD:74:DB:1F, 2019-03-18 11:06:02, 2019-03-18 11:06:27,  1,  54, WPA2, CCMP,PSK, -46,        9,        0,   0.  0.  0.  0,  19, iPhone de Alexandra, 
2E:F0:A2:E3:EB:BE, 2019-03-18 11:06:04, 2019-03-18 11:06:30, 11,  54, WPA2, CCMP,PSK, -45,       14,        2,   0.  0.  0.  0,  18, iPhone de Mathilde, 
B4:86:55:61:9F:6E, 2019-03-18 11:06:04, 2019-03-18 11:06:31, 11,  54, WPA2, CCMP,PSK, -43,       16,        0,   0.  0.  0.  0,  22, "Huawei de Anne-Claire ", 
B8:D9:4D:F6:11:3E, 2019-03-18 11:06:01, 2019-03-18 11:06:29, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -41,       13,        0,   0.  0.  0.  0,   8, SFR-1138, 
40:18:B1:CC:20:94, 2019-03-18 11:06:14, 2019-03-18 11:06:24, 11,  54, WPA2, CCMP,PSK, -41,        4,        0,   0.  0.  0.  0,  19, ESME-Sudria Invites, 
40:18:B1:CC:20:98, 2019-03-18 11:06:09, 2019-03-18 11:06:29, 11,  54, WPA2, CCMP,PSK, -41,        6,        0,   0.  0.  0.  0,  21, ESME-Sudria Visiteurs, 
40:18:B1:CC:20:97, 2019-03-18 11:06:09, 2019-03-18 11:06:29, 11,  54, WPA2, CCMP,PSK, -41,        5,        1,   0.  0.  0.  0,  11, ESME-Sudria, 
40:18:B1:CC:20:95, 2019-03-18 11:06:09, 2019-03-18 11:06:29, 11,  54, WPA2, CCMP,PSK, -41,        4,        0,   0.  0.  0.  0,   3, ESL, 
40:18:B1:CC:20:99, 2019-03-18 11:06:09, 2019-03-18 11:06:29, 11,  54, WPA2, CCMP,PSK, -41,        5,        0,   0.  0.  0.  0,  11, Labo_Reseau, 
40:18:B1:97:5E:97, 2019-03-18 11:06:04, 2019-03-18 11:06:25,  6,  54, WPA2, CCMP,PSK, -40,        3,        0,   0.  0.  0.  0,  19, ESME-Sudria Invites, 
40:18:B1:97:5E:96, 2019-03-18 11:06:03, 2019-03-18 11:06:25,  6,  54, WPA2, CCMP,PSK, -40,        2,        0,   0.  0.  0.  0,  11, ESME-Sudria, 
0A:C5:E1:B8:24:D2, 2019-03-18 11:06:01, 2019-03-18 11:06:31, 11,  54, WPA2, CCMP,PSK, -42,       15,        0,   0.  0.  0.  0,  13, AndroidAP7469, 
40:18:B1:97:5E:98, 2019-03-18 11:06:04, 2019-03-18 11:06:25,  6,  54, WPA2, CCMP,PSK, -39,        2,        0,   0.  0.  0.  0,   3, ESL, 
40:18:B1:97:5E:95, 2019-03-18 11:06:04, 2019-03-18 11:06:25,  6,  54, WPA2, CCMP,PSK, -39,        1,        0,   0.  0.  0.  0,  11, Labo_Reseau, 
40:18:B1:97:5E:99, 2019-03-18 11:06:04, 2019-03-18 11:06:25,  6,  54, WPA2, CCMP,PSK, -39,        3,        0,   0.  0.  0.  0,  21, ESME-Sudria Visiteurs, 
6A:4B:AA:03:8C:D0, 2019-03-18 11:06:14, 2019-03-18 11:06:20,  6,  54, WPA2, CCMP,PSK, -39,        0,        0,   0.  0.  0.  0,  19, iPhone de Guillaume, 
40:18:B1:97:6C:D8, 2019-03-18 11:06:00, 2019-03-18 11:06:31,  1,  54, WPA2, CCMP,PSK, -38,       10,      215,   0.  0.  0.  0,   3, ESL, 
40:18:B1:97:6C:D7, 2019-03-18 11:06:00, 2019-03-18 11:06:31,  1,  54, WPA2, CCMP,PSK, -37,       10,        0,   0.  0.  0.  0,  19, ESME-Sudria Invites, 
40:18:B1:97:6C:D6, 2019-03-18 11:06:00, 2019-03-18 11:06:31,  1,  54, WPA2, CCMP,PSK, -37,        8,        1,   0.  0.  0.  0,  11, ESME-Sudria, 
40:18:B1:97:6C:D9, 2019-03-18 11:06:00, 2019-03-18 11:06:31,  1,  54, WPA2, CCMP,PSK, -36,        7,        0,   0.  0.  0.  0,  21, ESME-Sudria Visiteurs, 
40:18:B1:97:6C:D5, 2019-03-18 11:06:00, 2019-03-18 11:06:31,  1,  54, WPA2, CCMP,PSK, -36,        6,        0,   0.  0.  0.  0,  11, Labo_Reseau, 
64:A2:F9:85:04:46, 2019-03-18 11:06:02, 2019-03-18 11:06:30, 10,  54, WPA2, CCMP,PSK, -35,       27,        0,   0.  0.  0.  0,   9, OnePlus 6, 
B2:19:C6:BF:6C:FD, 2019-03-18 11:06:00, 2019-03-18 11:06:31,  6,  54, WPA2, CCMP,PSK, -34,       34,        0,   0.  0.  0.  0,  15, iPhone de Bryan, 
40:18:B1:97:60:D6, 2019-03-18 11:06:09, 2019-03-18 11:06:10, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
40:18:B1:94:C4:D6, 2019-03-18 11:06:24, 2019-03-18 11:06:24, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
84:38:35:59:A8:C8, 2019-03-18 11:06:05, 2019-03-18 11:06:22, -57,        4, B2:E1:7B:1F:96:64,
FC:DB:B3:2F:3E:98, 2019-03-18 11:06:15, 2019-03-18 11:06:15, -56,        1, (not associated) ,
5C:93:A2:8A:B9:6E, 2019-03-18 11:06:15, 2019-03-18 11:06:15, -54,        1, 40:18:B1:CB:D8:D7,
C2:CB:EF:A3:B8:52, 2019-03-18 11:06:27, 2019-03-18 11:06:27, -52,        1, (not associated) ,
58:E2:8F:22:4E:82, 2019-03-18 11:06:10, 2019-03-18 11:06:12, -50,        2, 40:18:B1:97:60:D6,ESME-Sudria
D2:43:3E:2D:15:0F, 2019-03-18 11:06:19, 2019-03-18 11:06:19, -50,        1, (not associated) ,
C0:EE:FB:E1:C0:F7, 2019-03-18 11:06:22, 2019-03-18 11:06:22, -50,        2, (not associated) ,ESME-Sudria
26:82:B7:3F:80:63, 2019-03-18 11:06:15, 2019-03-18 11:06:15, -49,        1, (not associated) ,
AE:76:32:EF:E0:F1, 2019-03-18 11:06:02, 2019-03-18 11:06:02, -48,        1, (not associated) ,
DE:DB:C4:1F:5B:B6, 2019-03-18 11:06:17, 2019-03-18 11:06:17, -48,        5, (not associated) ,
5C:F9:38:45:00:CC, 2019-03-18 11:06:19, 2019-03-18 11:06:19, -48,        1, (not associated) ,
46:5E:F4:C3:15:4C, 2019-03-18 11:06:22, 2019-03-18 11:06:22, -48,        1, (not associated) ,
34:8A:7B:13:A7:48, 2019-03-18 11:06:05, 2019-03-18 11:06:15, -47,        2, 88:BD:45:B5:C3:D0,
14:AB:C5:E2:D4:93, 2019-03-18 11:06:04, 2019-03-18 11:06:30, -46,       12, 40:18:B1:CB:D8:D7,
DA:D4:50:24:01:A5, 2019-03-18 11:06:11, 2019-03-18 11:06:11, -46,        2, (not associated) ,
54:99:63:F2:B4:AA, 2019-03-18 11:06:24, 2019-03-18 11:06:24, -46,        4, 2E:F0:A2:E3:EB:BE,
9C:5C:F9:4E:5F:5B, 2019-03-18 11:06:28, 2019-03-18 11:06:28, -46,        2, (not associated) ,
40:B8:9A:FD:10:C3, 2019-03-18 11:06:04, 2019-03-18 11:06:04, -44,        1, (not associated) ,
AC:ED:5C:B1:80:41, 2019-03-18 11:06:06, 2019-03-18 11:06:06, -44,        2, (not associated) ,
AE:F8:BA:6E:E5:CA, 2019-03-18 11:06:22, 2019-03-18 11:06:22, -44,        2, (not associated) ,
3E:11:6B:6B:BE:92, 2019-03-18 11:06:28, 2019-03-18 11:06:28, -44,        1, (not associated) ,
B2:7E:02:56:60:DF, 2019-03-18 11:06:29, 2019-03-18 11:06:29, -44,        1, (not associated) ,
84:16:F9:07:35:4B, 2019-03-18 11:06:03, 2019-03-18 11:06:13, -42,        2, 40:18:B1:97:5E:96,
84:EF:18:DF:2B:E5, 2019-03-18 11:06:09, 2019-03-18 11:06:09, -41,        1, 40:18:B1:97:60:D6,
40:9F:38:1C:8B:21, 2019-03-18 11:06:02, 2019-03-18 11:06:02, -40,        2, (not associated) ,"Huawei de Anne-Claire "
B8:BB:AF:29:C3:1B, 2019-03-18 11:06:16, 2019-03-18 11:06:16, -40,        1, (not associated) ,
92:0F:2B:B3:C5:08, 2019-03-18 11:06:19, 2019-03-18 11:06:19, -40,        1, (not associated) ,
2E:80:CE:84:06:7D, 2019-03-18 11:06:20, 2019-03-18 11:06:20, -40,        2, (not associated) ,
28:56:5A:9C:24:BD, 2019-03-18 11:06:22, 2019-03-18 11:06:23, -39,        4, (not associated) ,
6A:4B:36:52:2C:36, 2019-03-18 11:06:05, 2019-03-18 11:06:05, -38,        5, (not associated) ,
8C:85:90:87:41:CD, 2019-03-18 11:06:19, 2019-03-18 11:06:19, -38,        1, 2E:F0:A2:E3:EB:BE,
C2:B9:E5:B5:55:74, 2019-03-18 11:06:20, 2019-03-18 11:06:20, -38,        1, (not associated) ,
62:23:B5:71:B5:73, 2019-03-18 11:06:20, 2019-03-18 11:06:20, -38,        1, (not associated) ,
FE:32:BA:96:98:CB, 2019-03-18 11:06:21, 2019-03-18 11:06:21, -38,        1, (not associated) ,
32:C6:F1:04:92:1D, 2019-03-18 11:06:25, 2019-03-18 11:06:25, -38,        3, (not associated) ,
B2:94:45:AE:0E:30, 2019-03-18 11:06:25, 2019-03-18 11:06:25, -38,        1, (not associated) ,AndroidAP7469
28:56:5A:9C:2E:DF, 2019-03-18 11:06:01, 2019-03-18 11:06:01, -37,        1, (not associated) ,
E2:93:C4:69:E3:EF, 2019-03-18 11:06:22, 2019-03-18 11:06:22, -37,        2, (not associated) ,
16:B8:E0:64:2F:6F, 2019-03-18 11:06:13, 2019-03-18 11:06:13, -36,        2, (not associated) ,
1A:91:53:37:73:17, 2019-03-18 11:06:26, 2019-03-18 11:06:26, -36,        2, (not associated) ,
30:3A:64:A2:F3:28, 2019-03-18 11:06:22, 2019-03-18 11:06:23, -35,        4, (not associated) ,ESME-Sudria
16:E6:83:D0:A9:03, 2019-03-18 11:06:25, 2019-03-18 11:06:25, -35,        3, (not associated) ,
90:48:9A:11:4E:4B, 2019-03-18 11:06:20, 2019-03-18 11:06:20, -32,        1, 40:18:B1:97:6C:D6,
6E:77:63:CA:66:6E, 2019-03-18 11:06:24, 2019-03-18 11:06:29, -28,        2, 64:A2:F9:85:04:46,
B8:27:EB:CA:D5:E8, 2019-03-18 11:06:00, 2019-03-18 11:06:31, -14,      323, B2:19:C6:BF:6C:FD,
B0:CA:68:88:3B:68, 2019-03-18 11:06:17, 2019-03-18 11:06:17,  -1,        2, F4:CA:E5:A7:BA:AA,
28:56:5A:9C:13:2D, 2019-03-18 11:06:30, 2019-03-18 11:06:30, -50,        1, (not associated) ,
46:94:1B:5D:88:AC, 2019-03-18 11:06:30, 2019-03-18 11:06:30, -37,        1, (not associated) ,

