
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F4:CA:E5:A7:BA:A8, 2019-03-18 11:28:58, 2019-03-18 11:28:58,  5,  54, WPA, CCMP,PSK, -48,        1,        0,   0.  0.  0.  0,  14, Freebox-551EC0, 
68:A3:78:AC:8E:78, 2019-03-18 11:28:58, 2019-03-18 11:28:58, 11,  54, WPA, CCMP TKIP,PSK, -51,        1,        0,   0.  0.  0.  0,  14, freebox_Rachid, 
40:18:B1:97:6B:98, 2019-03-18 11:28:44, 2019-03-18 11:28:59,  1,  54, WPA2, CCMP,PSK, -52,        5,        0,   0.  0.  0.  0,  11, Labo_Reseau, 
14:0C:76:ED:B4:44, 2019-03-18 11:28:46, 2019-03-18 11:28:46,  3,  54, WPA, CCMP TKIP,PSK, -53,        1,        0,   0.  0.  0.  0,   7, rst2015, 
14:0C:76:ED:B4:46, 2019-03-18 11:28:46, 2019-03-18 11:28:46,  3,  54, WPA2, CCMP TKIP, MGT, -56,        3,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
F4:CA:E5:F5:96:15, 2019-03-18 11:28:44, 2019-03-18 11:28:44,  1,  54, OPN, ,   , -58,        1,        0,   0.  0.  0.  0,   8, FreeWifi, 
46:85:00:79:89:75, 2019-03-18 11:28:53, 2019-03-18 11:28:53,  6,  54, WPA2, CCMP,PSK, -48,        1,        0,   0.  0.  0.  0,  20, DIRECT-WAPTB-AG1msAW, 
40:18:B1:CC:20:94, 2019-03-18 11:28:48, 2019-03-18 11:28:48, 11,  54, WPA2, CCMP,PSK, -40,        2,        0,   0.  0.  0.  0,  19, ESME-Sudria Invites, 
14:0C:76:ED:B4:45, 2019-03-18 11:28:47, 2019-03-18 11:29:06,  3,  54, OPN, ,   , -55,        2,        0,   0.  0.  0.  0,   8, FreeWifi, 
40:18:B1:97:6B:97, 2019-03-18 11:28:44, 2019-03-18 11:29:15,  1,  54, WPA2, CCMP,PSK, -55,        7,        7,   0.  0.  0.  0,   3, ESL, 
40:18:B1:97:6B:96, 2019-03-18 11:28:49, 2019-03-18 11:29:15,  1,  54, WPA2, CCMP,PSK, -55,        4,        0,   0.  0.  0.  0,  19, ESME-Sudria Invites, 
40:18:B1:CC:17:15, 2019-03-18 11:28:44, 2019-03-18 11:29:05,  1,  54, WPA2, CCMP,PSK, -54,        1,        3,   0.  0.  0.  0,   3, ESL, 
6E:E8:5C:C8:45:28, 2019-03-18 11:28:44, 2019-03-18 11:29:15,  1,  54, WPA2, CCMP,PSK, -54,        4,        0,   0.  0.  0.  0,  22, Oc\xC3\xA9ane Macke's iPhone, 
40:18:B1:97:6B:95, 2019-03-18 11:28:49, 2019-03-18 11:29:15,  1,  54, WPA2, CCMP,PSK, -53,        1,        0,   0.  0.  0.  0,  11, ESME-Sudria, 
40:18:B1:CC:17:17, 2019-03-18 11:28:54, 2019-03-18 11:29:15,  1,  54, WPA2, CCMP,PSK, -53,        2,        2,   0.  0.  0.  0,  11, ESME-Sudria, 
40:18:B1:97:6B:99, 2019-03-18 11:28:44, 2019-03-18 11:29:15,  1,  54, WPA2, CCMP,PSK, -53,        7,        0,   0.  0.  0.  0,  21, ESME-Sudria Visiteurs, 
40:18:B1:CC:17:19, 2019-03-18 11:29:05, 2019-03-18 11:29:05,  1,  54, WPA2, CCMP,PSK, -51,        1,        0,   0.  0.  0.  0,  11, Labo_Reseau, 
40:18:B1:CC:17:18, 2019-03-18 11:29:05, 2019-03-18 11:29:05,  1,  54, WPA2, CCMP,PSK, -51,        0,        0,   0.  0.  0.  0,  21, ESME-Sudria Visiteurs, 
00:1F:9F:BE:37:0B, 2019-03-18 11:28:48, 2019-03-18 11:29:14, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -50,        4,        0,   0.  0.  0.  0,  11, Bbox-18DA12, 
40:18:B1:96:E9:98, 2019-03-18 11:29:04, 2019-03-18 11:29:09, 11,  54, WPA2, CCMP,PSK, -49,        1,        7,   0.  0.  0.  0,   3, ESL, 
F4:CA:E5:A7:BA:AA, 2019-03-18 11:28:58, 2019-03-18 11:29:18,  5,  54, WPA2, CCMP TKIP, MGT, -49,        3,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
2E:F0:A2:E3:EB:BE, 2019-03-18 11:28:48, 2019-03-18 11:29:19, 11,  54, WPA2, CCMP,PSK, -48,        5,        0,   0.  0.  0.  0,  18, iPhone de Mathilde, 
B8:D9:4D:F6:11:3E, 2019-03-18 11:28:44, 2019-03-18 11:29:15,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -48,        3,        0,   0.  0.  0.  0,   8, SFR-1138, 
2E:0E:3D:E9:2C:1D, 2019-03-18 11:28:49, 2019-03-18 11:29:05,  1,  54, WPA2, CCMP,PSK, -48,        4,        0,   0.  0.  0.  0,   9, Mplouplou, 
F4:CA:E5:A7:BA:A9, 2019-03-18 11:29:18, 2019-03-18 11:29:19,  5,  54, OPN, ,   , -48,        2,        0,   0.  0.  0.  0,   8, FreeWifi, 
6A:4B:AA:03:8C:D0, 2019-03-18 11:29:09, 2019-03-18 11:29:13,  6,  54, WPA2, CCMP,PSK, -46,        2,        0,   0.  0.  0.  0,  19, iPhone de Guillaume, 
B4:86:55:61:9F:6E, 2019-03-18 11:28:53, 2019-03-18 11:29:19, 11,  54, WPA2, CCMP,PSK, -45,        4,        0,   0.  0.  0.  0,  22, "Huawei de Anne-Claire ", 
26:18:1D:7D:F0:B4, 2019-03-18 11:28:46, 2019-03-18 11:29:15,  1,  54, WPA2, CCMP,PSK, -43,       11,        0,   0.  0.  0.  0,  13, AndroidAP2384, 
22:47:DA:C3:46:25, 2019-03-18 11:28:46, 2019-03-18 11:29:19,  6,  54, WPA2, CCMP,PSK, -42,        5,        0,   0.  0.  0.  0,  13, Bush did 9/11, 
40:18:B1:CC:20:95, 2019-03-18 11:28:48, 2019-03-18 11:29:14, 11,  54, WPA2, CCMP,PSK, -42,        3,        0,   0.  0.  0.  0,   3, ESL, 
40:18:B1:CC:20:97, 2019-03-18 11:28:53, 2019-03-18 11:29:14, 11,  54, WPA2, CCMP,PSK, -42,        1,        1,   0.  0.  0.  0,  11, ESME-Sudria, 
40:18:B1:CC:20:98, 2019-03-18 11:28:48, 2019-03-18 11:29:14, 11,  54, WPA2, CCMP,PSK, -42,        1,        0,   0.  0.  0.  0,  21, ESME-Sudria Visiteurs, 
0A:C5:E1:B8:24:D2, 2019-03-18 11:28:48, 2019-03-18 11:29:19, 11,  54, WPA2, CCMP,PSK, -41,       10,        0,   0.  0.  0.  0,  13, AndroidAP7469, 
64:A2:F9:85:04:46, 2019-03-18 11:28:44, 2019-03-18 11:29:18, 10,  54, WPA2, CCMP,PSK, -41,       14,        0,   0.  0.  0.  0,   9, OnePlus 6, 
40:18:B1:CC:20:99, 2019-03-18 11:28:48, 2019-03-18 11:29:14, 11,  54, WPA2, CCMP,PSK, -41,        2,        0,   0.  0.  0.  0,  11, Labo_Reseau, 
40:18:B1:97:5E:96, 2019-03-18 11:28:48, 2019-03-18 11:29:19,  6,  54, WPA2, CCMP,PSK, -41,        3,        7,   0.  0.  0.  0,  11, ESME-Sudria, 
40:18:B1:97:5E:97, 2019-03-18 11:28:48, 2019-03-18 11:29:19,  6,  54, WPA2, CCMP,PSK, -41,        2,        0,   0.  0.  0.  0,  19, ESME-Sudria Invites, 
40:18:B1:97:5E:98, 2019-03-18 11:28:48, 2019-03-18 11:29:19,  6,  54, WPA2, CCMP,PSK, -41,        5,        0,   0.  0.  0.  0,   3, ESL, 
40:18:B1:97:5E:99, 2019-03-18 11:28:48, 2019-03-18 11:29:19,  6,  54, WPA2, CCMP,PSK, -41,        2,        0,   0.  0.  0.  0,  21, ESME-Sudria Visiteurs, 
40:18:B1:97:5E:95, 2019-03-18 11:29:14, 2019-03-18 11:29:19,  6,  54, WPA2, CCMP,PSK, -41,        0,        0,   0.  0.  0.  0,  11, Labo_Reseau, 
40:18:B1:97:6C:D8, 2019-03-18 11:28:44, 2019-03-18 11:29:15,  1,  54, WPA2, CCMP,PSK, -35,       11,      162,   0.  0.  0.  0,   3, ESL, 
40:18:B1:97:6C:D7, 2019-03-18 11:28:44, 2019-03-18 11:29:15,  1,  54, WPA2, CCMP,PSK, -34,       12,        0,   0.  0.  0.  0,  19, ESME-Sudria Invites, 
40:18:B1:97:6C:D6, 2019-03-18 11:28:44, 2019-03-18 11:29:15,  1,  54, WPA2, CCMP,PSK, -33,        8,        2,   0.  0.  0.  0,  11, ESME-Sudria, 
40:18:B1:97:6C:D9, 2019-03-18 11:28:44, 2019-03-18 11:29:10,  1,  54, WPA2, CCMP,PSK, -32,       11,        0,   0.  0.  0.  0,  21, ESME-Sudria Visiteurs, 
40:18:B1:97:6C:D5, 2019-03-18 11:28:44, 2019-03-18 11:29:10,  1,  54, WPA2, CCMP,PSK, -31,        9,        0,   0.  0.  0.  0,  11, Labo_Reseau, 
90:06:28:F0:70:17, 2019-03-18 11:28:45, 2019-03-18 11:29:20, 11,  54, WPA2, CCMP,PSK, -31,       40,       12,   0.  0.  0.  0,  13, AndroidAP9048, 
B2:19:C6:BF:6C:FD, 2019-03-18 11:28:44, 2019-03-18 11:29:20,  6,  54, WPA2, CCMP,PSK, -29,       26,        0,   0.  0.  0.  0,  15, iPhone de Bryan, 
40:18:B1:94:C4:D6, 2019-03-18 11:28:45, 2019-03-18 11:29:19, 13,  -1, WPA, ,   ,  -1,        0,       21,   0.  0.  0.  0,   0, , 
40:18:B1:CB:D8:D7, 2019-03-18 11:29:14, 2019-03-18 11:29:14, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
0C:2C:54:6B:9F:D5, 2019-03-18 11:28:53, 2019-03-18 11:28:53, -63,        1, (not associated) ,
84:16:F9:07:35:4B, 2019-03-18 11:29:01, 2019-03-18 11:29:07, -62,        9, 40:18:B1:97:5E:96,
B8:27:EB:9F:ED:23, 2019-03-18 11:29:14, 2019-03-18 11:29:14, -60,        3, (not associated) ,ASUS_NDL
44:85:00:79:89:75, 2019-03-18 11:29:06, 2019-03-18 11:29:06, -57,        1, (not associated) ,ESL
06:23:B5:C9:49:28, 2019-03-18 11:28:49, 2019-03-18 11:29:13, -57,        3, (not associated) ,
40:B8:9A:FD:10:C3, 2019-03-18 11:29:13, 2019-03-18 11:29:13, -51,        2, (not associated) ,
30:07:4D:0A:9F:15, 2019-03-18 11:28:50, 2019-03-18 11:28:51, -47,        8, (not associated) ,Jbn1805,SEHLIM,sehlim
A0:88:69:07:4F:4F, 2019-03-18 11:29:01, 2019-03-18 11:29:01, -47,        1, (not associated) ,
A2:54:8D:6A:CD:A7, 2019-03-18 11:28:44, 2019-03-18 11:28:45, -45,        2, (not associated) ,
28:C2:DD:8C:65:BB, 2019-03-18 11:28:59, 2019-03-18 11:28:59, -45,        2, (not associated) ,
2E:0D:80:E8:2D:81, 2019-03-18 11:28:59, 2019-03-18 11:28:59, -45,        1, (not associated) ,
B0:FC:36:AE:89:6D, 2019-03-18 11:28:45, 2019-03-18 11:29:19, -45,       67, 40:18:B1:94:C4:D6,
34:F6:4B:E8:73:44, 2019-03-18 11:28:44, 2019-03-18 11:28:44, -44,        1, 40:18:B1:CC:17:15,
40:9F:38:1C:8B:21, 2019-03-18 11:28:52, 2019-03-18 11:28:55, -44,        2, (not associated) ,"Huawei de Anne-Claire "
A6:BD:AB:A9:19:A5, 2019-03-18 11:28:52, 2019-03-18 11:28:53, -44,        2, (not associated) ,
28:56:5A:9C:2E:DF, 2019-03-18 11:29:01, 2019-03-18 11:29:01, -44,        1, (not associated) ,
40:9F:38:A6:1D:A9, 2019-03-18 11:28:54, 2019-03-18 11:29:05, -43,        4, 2E:0E:3D:E9:2C:1D,
02:CD:BC:23:83:95, 2019-03-18 11:29:00, 2019-03-18 11:29:00, -43,        1, (not associated) ,
78:31:C1:C4:8D:B4, 2019-03-18 11:29:11, 2019-03-18 11:29:11, -42,        5, (not associated) ,ESME-Sudria
3C:A0:67:B4:0E:BD, 2019-03-18 11:28:55, 2019-03-18 11:29:18, -41,       37, 40:18:B1:94:C4:D6,ESME-Sudria
6E:EA:8C:6A:32:A2, 2019-03-18 11:28:53, 2019-03-18 11:28:53, -40,        1, (not associated) ,
9C:AD:97:C7:C6:9F, 2019-03-18 11:29:15, 2019-03-18 11:29:15, -40,        1, 40:18:B1:CC:17:17,
4C:8D:79:E1:40:46, 2019-03-18 11:29:19, 2019-03-18 11:29:20, -31,        3, (not associated) ,
40:E2:30:AD:8B:5F, 2019-03-18 11:29:13, 2019-03-18 11:29:19, -38,        5, 40:18:B1:97:5E:96,
12:15:C4:C2:91:FF, 2019-03-18 11:29:06, 2019-03-18 11:29:06, -36,        4, (not associated) ,
AC:ED:5C:B1:80:41, 2019-03-18 11:28:48, 2019-03-18 11:29:19, -35,        5, 40:18:B1:94:C4:D6,
82:42:7B:27:41:A4, 2019-03-18 11:29:10, 2019-03-18 11:29:10, -35,        6, (not associated) ,
5C:E0:C5:77:81:16, 2019-03-18 11:29:05, 2019-03-18 11:29:09, -34,        8, 40:18:B1:97:5E:96,
1C:4D:70:B0:18:BE, 2019-03-18 11:28:53, 2019-03-18 11:28:53, -34,        1, 40:18:B1:97:5E:96,
DA:A1:19:F8:4D:AA, 2019-03-18 11:28:52, 2019-03-18 11:28:52, -33,        6, (not associated) ,1342nds
5C:51:4F:DC:70:3F, 2019-03-18 11:29:12, 2019-03-18 11:29:12, -33,        1, (not associated) ,
BE:9E:E8:06:7F:BD, 2019-03-18 11:28:53, 2019-03-18 11:28:53, -30,        1, (not associated) ,
60:57:18:4B:E4:57, 2019-03-18 11:28:58, 2019-03-18 11:28:58, -30,        2, 40:18:B1:CC:20:97,
2C:6E:85:BF:95:FF, 2019-03-18 11:29:14, 2019-03-18 11:29:14, -29,        1, 40:18:B1:CC:20:97,
6E:77:63:CA:66:6E, 2019-03-18 11:28:58, 2019-03-18 11:29:18, -28,        4, 64:A2:F9:85:04:46,
20:2D:07:E6:47:B9, 2019-03-18 11:28:53, 2019-03-18 11:29:10, -27,        2, 40:18:B1:97:6C:D6,ESME-Sudria
22:34:61:98:C5:4C, 2019-03-18 11:29:05, 2019-03-18 11:29:06, -27,        5, (not associated) ,
90:48:9A:11:4E:4B, 2019-03-18 11:29:03, 2019-03-18 11:29:03, -24,        1, 40:18:B1:CC:20:97,
BE:06:5D:AA:2F:F5, 2019-03-18 11:28:55, 2019-03-18 11:28:55, -23,        1, (not associated) ,
EE:72:07:E4:EB:68, 2019-03-18 11:28:59, 2019-03-18 11:28:59, -21,        2, (not associated) ,
68:17:29:52:87:1C, 2019-03-18 11:28:48, 2019-03-18 11:29:09, -17,       23, 90:06:28:F0:70:17,AndroidAP9048
B8:27:EB:CA:D5:E8, 2019-03-18 11:28:44, 2019-03-18 11:29:20, -59,      322, B2:19:C6:BF:6C:FD,
34:2D:0D:C5:B1:4E, 2019-03-18 11:29:12, 2019-03-18 11:29:17,  -1,       11, 90:06:28:F0:70:17,

