
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E4:5D:51:13:55:D6, 2019-03-19 17:00:35, 2019-03-19 17:05:14,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -65,       12,        1,   0.  0.  0.  0,   7, NadeSfr, 
40:18:B1:97:60:58, 2019-03-19 17:04:52, 2019-03-19 17:04:52,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
14:0C:76:ED:B4:44, 2019-03-19 17:02:19, 2019-03-19 17:04:54,  3,  54, WPA, CCMP TKIP,PSK, -53,        4,        0,   0.  0.  0.  0,   7, rst2015, 
14:0C:76:ED:B4:45, 2019-03-19 16:59:47, 2019-03-19 17:04:49,  3,  54, OPN, ,   , -62,       20,        0,   0.  0.  0.  0,   8, FreeWifi, 
12:42:46:E1:FB:C7, 2019-03-19 16:59:54, 2019-03-19 17:04:53,  1,  54, WPA2, CCMP,PSK, -66,       12,        9,   0.  0.  0.  0,  14, DEEWEEBOX-NDI=, 
40:18:B1:97:60:56, 2019-03-19 17:02:51, 2019-03-19 17:04:28,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
40:18:B1:CC:20:AB, 2019-03-19 17:01:21, 2019-03-19 17:01:21,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
F4:CA:E5:F5:96:15, 2019-03-19 17:04:08, 2019-03-19 17:04:08,  1,  54, OPN, ,   , -67,        1,        0,   0.  0.  0.  0,   8, FreeWifi, 
DA:6E:D6:71:B5:68, 2019-03-19 17:02:33, 2019-03-19 17:04:33,  2,  54, WPA, TKIP,PSK, -65,        1,        0,   0.  0.  0.  0,  16, FREEBOX_MEHDI_AU, 
14:0C:76:ED:B4:46, 2019-03-19 17:02:15, 2019-03-19 17:04:33,  3,  54, WPA2, CCMP TKIP, MGT, -64,       18,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
DA:6E:D6:71:B5:69, 2019-03-19 17:02:18, 2019-03-19 17:04:44,  2,  54, OPN, ,   , -53,        1,        0,   0.  0.  0.  0,   8, FreeWifi, 
6E:8D:C1:49:B8:14, 2019-03-19 17:04:46, 2019-03-19 17:04:46,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DA:6E:D6:71:B5:6A, 2019-03-19 17:02:14, 2019-03-19 17:04:59,  2,  54, WPA, CCMP, MGT, -64,        2,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
90:06:28:F0:70:17, 2019-03-19 17:05:08, 2019-03-19 17:05:40,  1,  54, WPA2, CCMP,PSK, -71,        1,        0,   0.  0.  0.  0,  13, AndroidAP9048, 
40:65:A3:14:80:9E, 2019-03-19 17:04:17, 2019-03-19 17:05:33,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -70,        2,        3,   0.  0.  0.  0,   8, SFR-8098, 
68:A3:78:10:E1:F6, 2019-03-19 17:01:31, 2019-03-19 17:05:36,  1,  54, OPN, ,   , -69,       18,        0,   0.  0.  0.  0,   8, FreeWifi, 
68:A3:78:10:E1:F5, 2019-03-19 17:01:33, 2019-03-19 17:05:36,  1,  54, WPA, CCMP TKIP,PSK, -68,       12,        0,   0.  0.  0.  0,  16, freebox_SENIORJM, 
40:18:B1:97:6B:59, 2019-03-19 16:59:50, 2019-03-19 17:05:42,  1,  54, WPA2, CCMP,PSK, -55,       95,        9,   0.  0.  0.  0,  21, ESME-Sudria Visiteurs, 
68:A3:78:10:E1:F7, 2019-03-19 17:01:51, 2019-03-19 17:05:38,  1,  54, WPA2, CCMP TKIP, MGT, -66,       13,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
40:18:B1:97:6C:D5, 2019-03-19 17:01:29, 2019-03-19 17:05:23,  1,  54, WPA2, CCMP,PSK, -64,       14,        0,   0.  0.  0.  0,  11, Labo_Reseau, 
40:18:B1:97:6C:D9, 2019-03-19 17:00:02, 2019-03-19 17:05:20,  1,  54, WPA2, CCMP,PSK, -63,       12,        0,   0.  0.  0.  0,  21, ESME-Sudria Visiteurs, 
64:A2:F9:60:65:6A, 2019-03-19 16:59:57, 2019-03-19 17:05:39,  1,  54, WPA2, CCMP,PSK, -63,       12,       88,   0.  0.  0.  0,   9, OnePlus 6, 
40:18:B1:97:6C:D6, 2019-03-19 16:59:52, 2019-03-19 17:05:41,  1,  54, WPA2, CCMP,PSK, -63,        9,        4,   0.  0.  0.  0,  11, ESME-Sudria, 
40:18:B1:97:6C:D7, 2019-03-19 16:59:55, 2019-03-19 17:05:40,  1,  54, WPA2, CCMP,PSK, -64,       19,        0,   0.  0.  0.  0,  19, ESME-Sudria Invites, 
40:18:B1:97:6C:D8, 2019-03-19 17:01:10, 2019-03-19 17:05:22,  1,  54, WPA2, CCMP,PSK, -62,       10,        0,   0.  0.  0.  0,   3, ESL, 
40:18:B1:97:6B:57, 2019-03-19 16:59:48, 2019-03-19 17:05:42,  1,  54, WPA2, CCMP,PSK, -65,       82,        0,   0.  0.  0.  0,  19, ESME-Sudria Invites, 
40:18:B1:97:6B:58, 2019-03-19 16:59:45, 2019-03-19 17:05:40,  1,  54, WPA2, CCMP,PSK, -56,       92,        0,   0.  0.  0.  0,   3, ESL, 
50:C8:E5:81:4A:3A, 2019-03-19 17:00:02, 2019-03-19 17:05:39,  1,  54, WPA2, CCMP,PSK, -58,      121,        0,   0.  0.  0.  0,  10, Copacabana, 
40:18:B1:97:6B:56, 2019-03-19 16:59:45, 2019-03-19 17:05:42,  1,  54, WPA2, CCMP,PSK, -62,       92,      173,   0.  0.  0.  0,  11, ESME-Sudria, 
40:18:B1:97:6B:55, 2019-03-19 16:59:50, 2019-03-19 17:05:42,  1,  54, WPA2, CCMP,PSK, -58,       87,        0,   0.  0.  0.  0,  11, Labo_Reseau, 
3C:DF:BD:90:59:1D, 2019-03-19 16:59:45, 2019-03-19 17:05:42,  1,  54, WPA, CCMP TKIP,PSK, -53,      724,       75,   0.  0.  0.  0,   9, AndroidAP, 
DE:53:60:F5:B9:1E, 2019-03-19 16:59:45, 2019-03-19 17:05:41,  1,  54, WPA2, CCMP,PSK, -58,      550,      463,   0.  0.  0.  0,  20, WIN-H23C7AVLG9K 6081, 
B2:70:2D:BB:94:EF, 2019-03-19 16:59:45, 2019-03-19 17:05:41,  1,  54, WPA2, CCMP,PSK, -52,      198,       55,   0.  0.  0.  0,   9, Nicolas S, 
D0:C5:D3:71:8D:E1, 2019-03-19 17:00:03, 2019-03-19 17:05:23, 36,  54, WPA2, CCMP,PSK, -36,       16,        0,   0.  0.  0.  0,   5, retry, 
B2:19:C6:BF:6C:FD, 2019-03-19 16:59:45, 2019-03-19 17:05:42,  1,  54, WPA2, CCMP,PSK, -18,     2454,       42,   0.  0.  0.  0,  15, iPhone de Bryan, 
40:18:B1:CC:17:17, 2019-03-19 16:59:53, 2019-03-19 17:05:41,  1,  -1, WPA, ,   ,  -1,        0,      898,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DA:A1:19:30:FA:88, 2019-03-19 17:04:37, 2019-03-19 17:04:37, -48,        2, (not associated) ,
9A:7A:DF:4F:01:99, 2019-03-19 17:04:35, 2019-03-19 17:04:35, -53,        1, (not associated) ,
76:B5:01:30:26:C6, 2019-03-19 17:04:33, 2019-03-19 17:04:36, -59,        2, (not associated) ,
2A:F4:97:6B:83:A0, 2019-03-19 17:04:38, 2019-03-19 17:04:38, -60,        3, (not associated) ,
DA:A1:19:D9:22:D0, 2019-03-19 17:04:26, 2019-03-19 17:04:26, -50,        2, (not associated) ,
04:D6:AA:87:57:32, 2019-03-19 17:00:17, 2019-03-19 17:04:23, -64,        2, (not associated) ,
B4:6D:83:D2:AB:EA, 2019-03-19 17:00:09, 2019-03-19 17:04:09, -38,        7, (not associated) ,
AE:1B:A9:3B:99:BC, 2019-03-19 16:59:51, 2019-03-19 17:04:10, -55,        5, (not associated) ,
CA:36:83:8E:AF:21, 2019-03-19 17:04:11, 2019-03-19 17:04:11, -70,        1, (not associated) ,
32:40:5F:3F:60:A2, 2019-03-19 17:03:54, 2019-03-19 17:04:00, -47,        3, (not associated) ,
CE:AB:BD:7B:7C:17, 2019-03-19 17:04:02, 2019-03-19 17:04:02, -52,        1, (not associated) ,
AC:7B:A1:CC:DF:6C, 2019-03-19 17:03:58, 2019-03-19 17:03:58, -60,        1, (not associated) ,
40:4E:36:26:DB:EB, 2019-03-19 17:04:00, 2019-03-19 17:04:00, -71,        1, (not associated) ,PicaroHotSpot
F8:16:54:2C:35:E4, 2019-03-19 17:00:45, 2019-03-19 17:03:45, -45,       18, (not associated) ,My ASUS,WeirdSounds
7E:D6:AB:07:78:FE, 2019-03-19 17:03:45, 2019-03-19 17:03:45, -51,        4, (not associated) ,
DA:A1:19:0C:5A:D5, 2019-03-19 17:03:49, 2019-03-19 17:03:49, -53,        3, (not associated) ,1342nds
A2:5C:E9:F1:6F:EF, 2019-03-19 17:03:48, 2019-03-19 17:03:48, -55,        1, (not associated) ,
36:F1:C7:44:A0:23, 2019-03-19 17:03:37, 2019-03-19 17:03:37, -42,        1, (not associated) ,
10:02:B5:0D:93:8C, 2019-03-19 17:03:38, 2019-03-19 17:03:38, -48,        1, (not associated) ,
62:0D:01:13:45:12, 2019-03-19 17:03:37, 2019-03-19 17:03:37, -51,        1, (not associated) ,
DA:A1:19:95:01:E7, 2019-03-19 17:03:37, 2019-03-19 17:03:37, -54,        1, (not associated) ,
FA:A5:4E:06:66:9F, 2019-03-19 17:03:23, 2019-03-19 17:03:23, -45,        1, (not associated) ,
68:E7:C2:2A:95:69, 2019-03-19 17:03:25, 2019-03-19 17:03:25, -50,        1, (not associated) ,
02:3E:D1:F4:6A:E9, 2019-03-19 17:03:21, 2019-03-19 17:03:21, -51,        1, (not associated) ,
DA:A1:19:16:6C:5A, 2019-03-19 17:03:25, 2019-03-19 17:03:25, -62,        1, (not associated) ,1342nds
4E:FE:F0:27:F0:55, 2019-03-19 17:03:10, 2019-03-19 17:03:10, -45,        1, (not associated) ,
AA:05:02:F7:07:FF, 2019-03-19 17:03:13, 2019-03-19 17:03:13, -47,        1, (not associated) ,
64:76:BA:9E:AC:18, 2019-03-19 17:01:47, 2019-03-19 17:03:11, -48,        9, 40:18:B1:97:6C:D6,ESME-Sudria
02:48:CD:CC:9B:8D, 2019-03-19 17:03:13, 2019-03-19 17:03:13, -53,        1, (not associated) ,
2E:BE:4F:77:E3:62, 2019-03-19 17:03:00, 2019-03-19 17:03:00, -53,        1, (not associated) ,
FA:39:7C:CD:0B:77, 2019-03-19 17:02:57, 2019-03-19 17:02:57, -53,        3, (not associated) ,
DA:A1:19:24:63:9C, 2019-03-19 17:03:01, 2019-03-19 17:03:01, -57,        1, (not associated) ,
1A:D7:5B:DA:62:01, 2019-03-19 17:02:59, 2019-03-19 17:02:59, -63,        1, (not associated) ,
DA:A1:19:A3:C3:D5, 2019-03-19 17:02:49, 2019-03-19 17:02:49, -47,        2, (not associated) ,1342nds
EA:CB:05:89:20:9A, 2019-03-19 17:02:45, 2019-03-19 17:02:45, -48,        3, (not associated) ,
36:4C:C9:99:CE:45, 2019-03-19 17:02:50, 2019-03-19 17:02:50, -53,        1, (not associated) ,
6E:E0:F1:38:97:CA, 2019-03-19 17:02:48, 2019-03-19 17:02:48, -58,        1, (not associated) ,
22:9F:38:1C:79:A7, 2019-03-19 17:02:31, 2019-03-19 17:02:36, -46,        3, (not associated) ,
DA:A1:19:BC:58:34, 2019-03-19 17:02:33, 2019-03-19 17:02:33, -53,        2, (not associated) ,
74:EB:80:4E:EB:D6, 2019-03-19 17:02:34, 2019-03-19 17:02:34, -55,        1, (not associated) ,FreeWifi
02:17:22:12:25:3D, 2019-03-19 17:02:26, 2019-03-19 17:02:26, -51,        1, (not associated) ,
DA:A1:19:93:40:44, 2019-03-19 17:02:21, 2019-03-19 17:02:21, -51,        1, (not associated) ,
DA:A1:19:43:1C:8E, 2019-03-19 17:02:24, 2019-03-19 17:02:24, -53,        1, (not associated) ,
C2:00:92:5C:B9:31, 2019-03-19 17:02:22, 2019-03-19 17:02:22, -55,        2, (not associated) ,
DA:A1:19:54:D9:F5, 2019-03-19 17:02:21, 2019-03-19 17:02:21, -55,        1, (not associated) ,
16:03:EA:1A:97:48, 2019-03-19 17:02:13, 2019-03-19 17:02:13, -46,        2, (not associated) ,
0E:81:38:21:71:A8, 2019-03-19 17:02:12, 2019-03-19 17:02:12, -46,        1, (not associated) ,
DA:A1:19:0C:D3:2D, 2019-03-19 17:02:11, 2019-03-19 17:02:11, -56,        1, (not associated) ,
80:58:F8:CD:FF:9D, 2019-03-19 17:00:16, 2019-03-19 17:02:13, -58,        4, (not associated) ,
AC:5F:3E:4F:BD:6B, 2019-03-19 17:01:17, 2019-03-19 17:02:01, -43,        3, (not associated) ,
B8:27:EB:C8:76:81, 2019-03-19 17:02:02, 2019-03-19 17:02:02, -48,        1, (not associated) ,
DA:A1:19:CB:54:B6, 2019-03-19 17:01:59, 2019-03-19 17:01:59, -50,        3, (not associated) ,
96:7B:49:9E:58:9C, 2019-03-19 17:02:02, 2019-03-19 17:02:02, -52,        2, (not associated) ,
DA:A1:19:8A:1D:01, 2019-03-19 17:01:58, 2019-03-19 17:01:58, -57,        1, (not associated) ,
DA:A1:19:67:6D:F8, 2019-03-19 17:01:47, 2019-03-19 17:01:47, -57,        2, (not associated) ,
32:3C:10:A1:00:DD, 2019-03-19 17:01:09, 2019-03-19 17:01:34, -37,        5, (not associated) ,
DA:A1:19:E5:B2:1E, 2019-03-19 17:01:37, 2019-03-19 17:01:37, -49,        1, (not associated) ,
00:20:00:C0:16:E7, 2019-03-19 17:01:33, 2019-03-19 17:01:33, -57,        1, E4:5D:51:13:55:D6,
62:23:F1:F4:06:EA, 2019-03-19 17:01:34, 2019-03-19 17:01:34, -60,        2, (not associated) ,
16:6C:A0:9A:0D:A8, 2019-03-19 17:01:22, 2019-03-19 17:01:22, -47,        1, (not associated) ,
