Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;NadeSfr;E4:5D:51:13:55:D6;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;12;0;1;0;0;1;;;Tue Mar 19 17:00:35 2019;Tue Mar 19 17:05:14 2019;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;;40:18:B1:97:60:58;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Tue Mar 19 17:04:52 2019;Tue Mar 19 17:04:52 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;rst2015;14:0C:76:ED:B4:44;;3;No;WPA,AES-CCM,TKIP;No;54.0;0;4;0;0;0;0;0;;;Tue Mar 19 17:02:19 2019;Tue Mar 19 17:04:54 2019;-53;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;FreeWifi;14:0C:76:ED:B4:45;;3;No;OPN,None;No;54.0;0;20;0;0;0;0;0;;;Tue Mar 19 16:59:47 2019;Tue Mar 19 17:04:49 2019;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;DEEWEEBOX-NDI=;12:42:46:E1:FB:C7;;1;No;WPA2,AES-CCM;No;54.0;0;12;0;9;0;0;9;;;Tue Mar 19 16:59:54 2019;Tue Mar 19 17:04:53 2019;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;;40:18:B1:97:60:56;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Tue Mar 19 17:02:51 2019;Tue Mar 19 17:04:28 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;;40:18:B1:CC:20:AB;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Tue Mar 19 17:01:21 2019;Tue Mar 19 17:01:21 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;FREEBOX_MEHDI_AU;DA:6E:D6:71:B5:68;;2;No;WPA,TKIP;No;54.0;0;1;0;0;0;0;0;;;Tue Mar 19 17:02:33 2019;Tue Mar 19 17:04:33 2019;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;FreeWifi_secure;14:0C:76:ED:B4:46;;3;No;WPA2,AES-CCM,TKIP;No;54.0;0;18;0;0;0;0;0;;;Tue Mar 19 17:02:15 2019;Tue Mar 19 17:04:33 2019;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;FreeWifi;DA:6E:D6:71:B5:69;;2;No;OPN,None;No;54.0;0;1;0;0;0;0;0;;;Tue Mar 19 17:02:18 2019;Tue Mar 19 17:04:44 2019;-53;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;FreeWifi_secure;DA:6E:D6:71:B5:6A;;2;No;WPA,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Tue Mar 19 17:02:14 2019;Tue Mar 19 17:04:59 2019;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;AndroidAP9048;90:06:28:F0:70:17;;1;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Tue Mar 19 17:05:08 2019;Tue Mar 19 17:05:40 2019;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;SFR-8098;40:65:A3:14:80:9E;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;2;0;3;0;0;3;;;Tue Mar 19 17:04:17 2019;Tue Mar 19 17:05:33 2019;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;FreeWifi;68:A3:78:10:E1:F6;;1;No;OPN,None;No;54.0;0;18;0;0;0;0;0;;;Tue Mar 19 17:01:31 2019;Tue Mar 19 17:05:36 2019;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;freebox_SENIORJM;68:A3:78:10:E1:F5;;1;No;WPA,AES-CCM,TKIP;No;54.0;0;12;0;0;0;0;0;;;Tue Mar 19 17:01:33 2019;Tue Mar 19 17:05:36 2019;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;ESME-Sudria Visiteurs;40:18:B1:97:6B:59;;1;No;WPA2,AES-CCM;No;54.0;0;95;0;9;0;0;9;;;Tue Mar 19 16:59:50 2019;Tue Mar 19 17:05:42 2019;-55;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;FreeWifi_secure;68:A3:78:10:E1:F7;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;13;0;0;0;0;0;;;Tue Mar 19 17:01:51 2019;Tue Mar 19 17:05:38 2019;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;Labo_Reseau;40:18:B1:97:6C:D5;;1;No;WPA2,AES-CCM;No;54.0;0;14;0;0;0;0;0;;;Tue Mar 19 17:01:29 2019;Tue Mar 19 17:05:23 2019;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
