
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
40:18:B1:97:60:56, 2019-03-19 18:40:09, 2019-03-19 18:40:26,  1,  -1, OPN, ,   ,  -1,        0,        3,   0.  0.  0.  0,   0, , 
40:18:B1:97:60:58, 2019-03-19 18:39:54, 2019-03-19 18:39:55,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
40:65:A3:14:80:9E, 2019-03-19 18:39:48, 2019-03-19 18:40:37,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -73,        3,        2,   0.  0.  0.  0,   8, SFR-8098, 
F4:CA:E5:F5:96:16, 2019-03-19 18:39:48, 2019-03-19 18:40:49,  1,  54, WPA2, CCMP TKIP, MGT, -71,       14,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
14:0C:76:ED:B4:45, 2019-03-19 18:39:47, 2019-03-19 18:40:42,  3,  54, OPN, ,   , -68,        5,        0,   0.  0.  0.  0,   8, FreeWifi, 
F4:CA:E5:F5:96:14, 2019-03-19 18:39:44, 2019-03-19 18:40:50,  1,  54, WPA2, CCMP,PSK, -67,       16,        1,   0.  0.  0.  0,  14, Freebox-4436D0, 
14:0C:76:ED:B4:44, 2019-03-19 18:39:48, 2019-03-19 18:40:44,  3,  54, WPA, CCMP TKIP,PSK, -65,        4,        2,   0.  0.  0.  0,   7, rst2015, 
E4:5D:51:13:55:D6, 2019-03-19 18:39:43, 2019-03-19 18:40:50,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -64,       44,       13,   0.  0.  0.  0,   7, NadeSfr, 
F4:CA:E5:F5:96:15, 2019-03-19 18:39:52, 2019-03-19 18:40:48,  1,  54, OPN, ,   , -61,       17,        0,   0.  0.  0.  0,   8, FreeWifi, 
40:18:B1:97:6B:55, 2019-03-19 18:39:43, 2019-03-19 18:40:50,  1,  54, WPA2, CCMP,PSK, -61,       17,        0,   0.  0.  0.  0,  11, Labo_Reseau, 
68:A3:78:10:E1:F5, 2019-03-19 18:39:44, 2019-03-19 18:40:50,  1,  54, WPA, CCMP TKIP,PSK, -56,      170,        0,   0.  0.  0.  0,  16, freebox_SENIORJM, 
14:0C:76:ED:B4:46, 2019-03-19 18:39:48, 2019-03-19 18:40:48,  3,  54, WPA2, CCMP TKIP, MGT, -59,        4,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
40:18:B1:97:6C:D5, 2019-03-19 18:39:44, 2019-03-19 18:40:50,  1,  54, WPA2, CCMP,PSK, -55,       52,        0,   0.  0.  0.  0,  11, Labo_Reseau, 
68:A3:78:10:E1:F6, 2019-03-19 18:39:43, 2019-03-19 18:40:50,  1,  54, OPN, ,   , -59,      186,        0,   0.  0.  0.  0,   8, FreeWifi, 
40:18:B1:97:6B:56, 2019-03-19 18:39:43, 2019-03-19 18:40:50,  1,  54, WPA2, CCMP,PSK, -57,       18,        0,   0.  0.  0.  0,  11, ESME-Sudria, 
40:18:B1:97:6C:D6, 2019-03-19 18:39:44, 2019-03-19 18:40:50,  1,  54, WPA2, CCMP,PSK, -58,       58,        0,   0.  0.  0.  0,  11, ESME-Sudria, 
40:18:B1:97:6C:D8, 2019-03-19 18:39:44, 2019-03-19 18:40:50,  1,  54, WPA2, CCMP,PSK, -56,       23,        0,   0.  0.  0.  0,   3, ESL, 
40:18:B1:97:6C:D9, 2019-03-19 18:39:45, 2019-03-19 18:40:49,  1,  54, WPA2, CCMP,PSK, -53,       12,        0,   0.  0.  0.  0,  21, ESME-Sudria Visiteurs, 
68:A3:78:10:E1:F7, 2019-03-19 18:39:43, 2019-03-19 18:40:50,  1,  54, WPA2, CCMP TKIP, MGT, -56,      185,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
40:18:B1:97:6B:57, 2019-03-19 18:39:44, 2019-03-19 18:40:50,  1,  54, WPA2, CCMP,PSK, -55,       24,        0,   0.  0.  0.  0,  19, ESME-Sudria Invites, 
40:18:B1:97:6B:58, 2019-03-19 18:39:43, 2019-03-19 18:40:50,  1,  54, WPA2, CCMP,PSK, -57,       16,        0,   0.  0.  0.  0,   3, ESL, 
DA:6E:D6:71:B5:6A, 2019-03-19 18:39:43, 2019-03-19 18:40:50,  2,  54, WPA, CCMP, MGT, -57,       23,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
40:18:B1:97:6B:59, 2019-03-19 18:39:44, 2019-03-19 18:40:50,  1,  54, WPA2, CCMP,PSK, -57,       20,        0,   0.  0.  0.  0,  21, ESME-Sudria Visiteurs, 
40:18:B1:97:6C:D7, 2019-03-19 18:39:45, 2019-03-19 18:40:50,  1,  54, WPA2, CCMP,PSK, -56,       53,        0,   0.  0.  0.  0,  19, ESME-Sudria Invites, 
DA:6E:D6:71:B5:68, 2019-03-19 18:39:43, 2019-03-19 18:40:50,  2,  54, WPA, TKIP,PSK, -57,       33,        3,   0.  0.  0.  0,  16, FREEBOX_MEHDI_AU, 
DA:6E:D6:71:B5:69, 2019-03-19 18:39:43, 2019-03-19 18:40:50,  2,  54, OPN, ,   , -56,       28,        0,   0.  0.  0.  0,   8, FreeWifi, 
6E:8D:C1:49:B8:14, 2019-03-19 18:39:43, 2019-03-19 18:40:50,  1,  54, WPA2, CCMP,PSK, -41,      476,        0,   0.  0.  0.  0,  14, iPhone d'Anais, 
B2:19:C6:BF:6C:FD, 2019-03-19 18:39:43, 2019-03-19 18:40:50,  1,  54, WPA2, CCMP,PSK, -29,      454,        2,   0.  0.  0.  0,  15, iPhone de Bryan, 
44:CE:7D:9B:ED:34, 2019-03-19 18:40:49, 2019-03-19 18:40:49, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
62:DF:79:0F:F8:96, 2019-03-19 18:39:47, 2019-03-19 18:39:47, -60,        1, (not associated) ,
96:C8:D4:57:28:ED, 2019-03-19 18:40:01, 2019-03-19 18:40:01, -71,        1, (not associated) ,
9C:8C:6E:12:5E:39, 2019-03-19 18:40:26, 2019-03-19 18:40:26, -66,        1, (not associated) ,Lea
3C:6A:A7:10:DF:29, 2019-03-19 18:39:51, 2019-03-19 18:40:41, -66,        2, (not associated) ,
28:56:5A:9C:13:25, 2019-03-19 18:40:29, 2019-03-19 18:40:29, -64,        3, (not associated) ,
D4:E6:B7:48:3E:A7, 2019-03-19 18:40:16, 2019-03-19 18:40:36, -63,        2, (not associated) ,
84:C7:EA:67:1D:98, 2019-03-19 18:39:49, 2019-03-19 18:40:45, -62,       22, DA:6E:D6:71:B5:68,
00:20:00:C0:16:E7, 2019-03-19 18:39:47, 2019-03-19 18:40:50, -61,        5, E4:5D:51:13:55:D6,
3C:6A:A7:42:FC:1B, 2019-03-19 18:40:19, 2019-03-19 18:40:19, -61,        1, (not associated) ,
9C:AD:97:C7:C6:9F, 2019-03-19 18:40:44, 2019-03-19 18:40:44, -61,        1, (not associated) ,ESME-Sudria
70:1C:E7:13:56:C8, 2019-03-19 18:40:31, 2019-03-19 18:40:31, -60,        1, (not associated) ,
DE:76:D9:90:21:54, 2019-03-19 18:40:21, 2019-03-19 18:40:21, -59,        1, (not associated) ,
AC:7B:A1:72:BD:CA, 2019-03-19 18:40:34, 2019-03-19 18:40:34, -59,        1, (not associated) ,
B8:27:EB:D2:D6:03, 2019-03-19 18:39:49, 2019-03-19 18:40:49, -46,       13, (not associated) ,
F8:16:54:2C:35:E4, 2019-03-19 18:39:45, 2019-03-19 18:40:45, -57,        9, (not associated) ,WeirdSounds,My ASUS
A4:02:B9:5A:0D:D9, 2019-03-19 18:39:52, 2019-03-19 18:40:50, -56,        5, 40:18:B1:97:6B:56,ESME-Sudria
DA:A1:19:EC:52:69, 2019-03-19 18:40:29, 2019-03-19 18:40:29, -55,        2, (not associated) ,
92:AE:8A:EE:CA:70, 2019-03-19 18:39:55, 2019-03-19 18:39:55, -54,        1, (not associated) ,
8C:85:90:64:53:1A, 2019-03-19 18:40:09, 2019-03-19 18:40:26, -53,       44, 40:18:B1:97:60:56,ESME-Sudria
4A:A3:F1:EA:3B:EE, 2019-03-19 18:40:31, 2019-03-19 18:40:31, -53,        1, (not associated) ,
F8:C3:9E:88:DD:E1, 2019-03-19 18:40:47, 2019-03-19 18:40:47, -53,        2, (not associated) ,
C2:A7:CB:10:CA:F7, 2019-03-19 18:40:14, 2019-03-19 18:40:14, -52,        1, (not associated) ,
A4:34:D9:E4:45:EE, 2019-03-19 18:39:54, 2019-03-19 18:40:38, -51,        9, 40:18:B1:97:60:58,ESL
02:96:A6:C4:2D:E1, 2019-03-19 18:40:06, 2019-03-19 18:40:06, -51,        1, (not associated) ,
28:16:A8:EF:13:C4, 2019-03-19 18:40:39, 2019-03-19 18:40:39, -51,        3, (not associated) ,
B0:A2:E7:E2:83:3A, 2019-03-19 18:39:51, 2019-03-19 18:40:36, -50,        6, (not associated) ,
3A:B2:42:2E:D4:25, 2019-03-19 18:40:02, 2019-03-19 18:40:02, -50,        1, (not associated) ,
82:5E:3E:72:F1:9F, 2019-03-19 18:40:02, 2019-03-19 18:40:02, -49,        1, (not associated) ,
54:B8:02:D4:67:4C, 2019-03-19 18:40:01, 2019-03-19 18:40:42, -48,        3, (not associated) ,
DA:A1:19:75:2A:56, 2019-03-19 18:39:50, 2019-03-19 18:39:50, -48,        3, (not associated) ,
CE:E4:AC:E6:8A:3B, 2019-03-19 18:39:54, 2019-03-19 18:39:54, -48,        2, (not associated) ,
28:56:5A:9C:24:BD, 2019-03-19 18:40:12, 2019-03-19 18:40:12, -48,        2, (not associated) ,
DA:A1:19:01:85:98, 2019-03-19 18:39:50, 2019-03-19 18:39:59, -45,        3, (not associated) ,
AE:A9:10:7B:7B:7F, 2019-03-19 18:40:35, 2019-03-19 18:40:35, -35,        2, (not associated) ,
AC:BC:32:7D:3F:9B, 2019-03-19 18:39:45, 2019-03-19 18:40:46, -29,      114, 6E:8D:C1:49:B8:14,R\xC3\xA9seau de r\xC3\xA9mi duchemin
00:27:10:41:16:3C, 2019-03-19 18:40:22, 2019-03-19 18:40:22,  -9,        1, B2:19:C6:BF:6C:FD,
B8:27:EB:CA:D5:E8, 2019-03-19 18:39:43, 2019-03-19 18:40:50,  -4,     2695, B2:19:C6:BF:6C:FD,

