
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:25:00:FF:94:73, 2019-02-06 19:05:50, 2019-02-06 19:06:36, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
14:0C:76:A1:01:58, 2019-02-06 19:06:33, 2019-02-06 19:06:33,  7,  54, WPA2, CCMP TKIP, MGT, -47,        0,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
14:0C:76:A1:01:57, 2019-02-06 19:06:32, 2019-02-06 19:06:34,  7,  54, OPN, ,   , -47,        0,        0,   0.  0.  0.  0,   8, FreeWifi, 
14:0C:76:A1:01:56, 2019-02-06 19:05:53, 2019-02-06 19:06:37,  7,  54, WPA2, CCMP,PSK, -49,        0,        0,   0.  0.  0.  0,  14, freebox_VZMFTQ, 
28:CF:DA:B3:24:F7, 2019-02-06 19:05:50, 2019-02-06 19:06:36,  1,  54, WPA2, CCMP,PSK, -53,        2,        6,   0.  0.  0.  0,  22, R\xC3\xA9seau Wi-Fi de R\xC3\xA9mi, 
E4:9E:12:11:01:9F, 2019-02-06 19:05:51, 2019-02-06 19:06:35,  3,  54, OPN, ,   , -64,        9,        0,   0.  0.  0.  0,   8, FreeWifi, 
E4:9E:12:11:01:9E, 2019-02-06 19:05:51, 2019-02-06 19:06:35,  3,  54, WPA, CCMP TKIP,PSK, -67,        9,        0,   0.  0.  0.  0,  17, FREEBOX_YVETTE_M2, 
1A:2F:DA:39:1A:06, 2019-02-06 19:06:11, 2019-02-06 19:06:36, 11,  54, OPN, ,   , -80,        5,        0,   0.  0.  0.  0,   8, FreeWifi, 
1A:2F:DA:39:1A:04, 2019-02-06 19:05:54, 2019-02-06 19:06:36, 11,  54, WPA, CCMP,PSK, -81,       10,        0,   0.  0.  0.  0,   9, jcperonne, 
14:0C:76:7C:67:B2, 2019-02-06 19:05:51, 2019-02-06 19:06:35,  8,  54, WPA2, CCMP TKIP, MGT, -82,        2,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
14:0C:76:7C:67:B1, 2019-02-06 19:05:51, 2019-02-06 19:06:35,  8,  54, OPN, ,   , -83,        5,        0,   0.  0.  0.  0,   8, FreeWifi, 
A2:17:33:D3:31:F9, 2019-02-06 19:06:06, 2019-02-06 19:06:30,  1,  54, OPN, ,   , -83,        2,        0,   0.  0.  0.  0,  12, SFR WiFi FON, 
00:17:33:D3:31:F8, 2019-02-06 19:05:50, 2019-02-06 19:06:36,  1,  54, WPA, CCMP TKIP,PSK, -84,        5,        0,   0.  0.  0.  0,   9, NEUF_31F4, 
A2:17:33:D3:31:FB, 2019-02-06 19:06:07, 2019-02-06 19:06:36,  1,  54, WPA2, CCMP, MGT, -84,        2,        0,   0.  0.  0.  0,  15, SFR WiFi Mobile, 
98:01:A7:E7:64:38, 2019-02-06 19:06:06, 2019-02-06 19:06:19,  1,  54, WPA2, CCMP,PSK, -32,        3,        3,   0.  0.  0.  0,  22, R\xC3\xA9seau Wi-Fi de R\xC3\xA9mi, 
14:0C:76:7C:67:B0, 2019-02-06 19:06:02, 2019-02-06 19:06:08,  8,  54, WPA2, CCMP,PSK, -81,        2,        1,   0.  0.  0.  0,  14, Freebox-7C67AF, 
1A:2F:DA:39:1A:05, 2019-02-06 19:05:50, 2019-02-06 19:06:28, 11,  54, WPA2, CCMP,PSK, -81,        9,        0,   0.  0.  0.  0,   0, , 
1A:2F:DA:39:1A:07, 2019-02-06 19:05:50, 2019-02-06 19:06:28, 11,  54, WPA, CCMP, MGT, -80,        7,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
E4:9E:12:11:01:A0, 2019-02-06 19:05:51, 2019-02-06 19:06:28,  3,  54, WPA2, CCMP TKIP, MGT, -62,        9,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
3E:81:65:AD:E8:DB, 2019-02-06 19:05:50, 2019-02-06 19:06:36, -70,        9, 00:25:00:FF:94:73,
00:04:20:EF:8A:2E, 2019-02-06 19:05:53, 2019-02-06 19:06:37, -75,       47, 14:0C:76:A1:01:56,freebox_VZMFTQ
00:04:20:27:9E:B4, 2019-02-06 19:06:28, 2019-02-06 19:06:28, -84,        4, (not associated) ,R\xC3\xA9seau Wi-Fi de R\xC3\xA9mi
9C:E6:5E:8C:D8:A6, 2019-02-06 19:05:54, 2019-02-06 19:05:54, -78,        1, (not associated) ,
B8:27:EB:89:D6:84, 2019-02-06 19:05:49, 2019-02-06 19:06:11, -21,        6, (not associated) ,

